auc,mrr,ndcg@5,ndcg@10,recall@5,recall@10,recall@50,recall@100,recall@200,diversity@50,diversity@100,novelty@50,novelty@100,user_id,history_len
0.6122448979591837,0.027777777777777776,0.0,0.0,0.0,0.0,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.18,0.1,0.58,0.79,19181,21
0.46733668341708545,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.16,0.11,0.88,0.94,21271,6
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.96,0.98,21774,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.66,0.83,22779,17
0.601010101010101,0.07692307692307693,0.0,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.12,0.06,0.54,0.72,22895,42
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.62,0.74,24184,60
0.8994974874371859,0.047619047619047616,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.18,0.09,0.6,0.8,25012,20
0.36180904522613067,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.14,0.08,0.42,0.68,25809,48
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.82,0.91,26594,9
0.678391959798995,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.2,0.11,0.64,0.82,28327,18
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.94,0.97,29497,3
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.78,0.89,29562,11
0.41708542713567837,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.14,0.09,0.74,0.87,29681,13
0.8140703517587939,0.02631578947368421,0.0,0.0,0.0,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.18,0.11,0.52,0.71,32222,42
0.7297979797979798,0.038461538461538464,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2,0.11,0.78,0.89,33736,12
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.88,0.94,34932,6
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.68,0.84,36131,16
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.92,0.96,37232,4
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.96,0.98,39364,2
0.3065326633165829,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14,0.07,0.92,0.96,40054,4
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.92,0.96,40071,4
0.7236180904522613,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.16,0.1,0.58,0.76,43932,50
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.9,0.95,44487,5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.96,0.98,44610,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.76,0.88,45078,12
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.96,0.98,46534,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.82,0.91,48960,9
0.39195979899497485,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.14,0.08,0.64,0.81,50306,19
0.4321608040201005,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.16,0.1,0.7,0.81,51752,64
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.46,0.73,59820,32
0.8040201005025126,0.025,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16,0.09,0.68,0.84,60877,17
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.72,0.86,61977,14
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.94,0.97,65485,3
0.7738693467336684,0.021739130434782608,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.1,0.06,0.94,0.97,67434,3
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.82,0.91,68235,9
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.96,0.98,70457,2
0.5858585858585859,0.034482758620689655,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.14,0.08,0.7,0.85,71413,15
0.3417085427135678,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.11,0.9,0.95,72259,5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.86,0.93,73405,8
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.78,0.89,76658,12
0.51010101010101,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.021052631578947368,0.14,0.11,0.7,0.8,81492,94
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.8,0.9,82733,10
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.98,0.99,84223,1
0.33668341708542715,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.12,0.09,0.82,0.91,85849,9
0.9444444444444444,0.3333333333333333,0.5,0.5,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.16,0.08,0.6,0.72,88591,62
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.78,0.89,90036,11
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.08,0.7,0.85,95507,15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.98,0.99,95968,1
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.96,0.98,96063,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.96,0.98,98255,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.96,0.98,102984,2
0.1306532663316583,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,0.08,0.7,0.85,104262,15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.62,0.8,106588,20
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.86,0.93,109259,7
0.7688442211055276,0.02127659574468085,0.0,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.2,0.11,0.62,0.75,110458,51
